cluster_id	nematode_id_fraction	proteins
OG0000266	1.0	CPF4969.WP_042262936.1,CPFORC.WP_060669394.1,CPMJR7757A.WP_060796116.1,CPATCC3626.WP_042266946.1,CPATCC13124.WP_003451025.1,CPSM101.WP_011591196.1,CPMPRL4477.fig|195102.33.peg.2397,CPJJC.WP_025648329.1,CP1207.WP_003451025.1,CPMPRL3750.fig|195102.37.peg.519,CPMPRL4782.fig|195102.31.peg.2683,CPJGS1721.WP_003451025.1,CPMPRL4450.fig|195102.34.peg.2284,CPMPRL4725.fig|195102.36.peg.2546,CP13.WP_003451025.1,CPJGS1987.WP_003466065.1,CPMPRL4350.fig|195102.38.peg.2519,CPWAL-14572.WP_003451025.1,CPJGS1495.WP_003451025.1,CPF262.WP_003451025.1,CPMPRL4492.fig|195102.32.peg.2413,CPNCTC8239.WP_003451025.1,CPJP55.WP_003451025.1,CBOT.YP_001385963,CPCP4.WP_003451025.1,CPMPRL4716.fig|195102.30.peg.99,CPJP838.WP_003451025.1
OG0000267	1.0	CPF262.WP_003451044.1,CPSM101.WP_003451044.1,CP13.WP_003451044.1,CPF4969.WP_003451044.1,CPJGS1495.WP_003451044.1,CPATCC3626.WP_003451044.1,CPMPRL4477.fig|195102.33.peg.2398,CPMJR7757A.WP_003451044.1,CPJGS1721.WP_003451044.1,CPFORC.WP_003451044.1,CPMPRL4782.fig|195102.31.peg.2684,CPWAL-14572.WP_003451044.1,CPMPRL4716.fig|195102.30.peg.100,CPCP4.WP_003451044.1,CPMPRL3750.fig|195102.37.peg.520,CPMPRL4450.fig|195102.34.peg.2285,CPMPRL4725.fig|195102.36.peg.2547,CPJJC.WP_025648328.1,CPNCTC8239.WP_003451044.1,CP1207.WP_003451044.1,CPATCC13124.WP_003451044.1,CPJP838.WP_061426017.1,CPJGS1987.WP_003451044.1,CPJP55.WP_003451044.1,CPMPRL4350.fig|195102.38.peg.2520,CPMPRL4492.fig|195102.32.peg.2412,CBOT.YP_001385964
OG0000268	1.0	CP13.WP_003470354.1,CPFORC.WP_003466076.1,CPCP4.WP_003470354.1,CP1207.WP_003470354.1,CPNCTC8239.WP_003470354.1,CPJGS1721.WP_003470354.1,CPSM101.WP_003470354.1,CPJGS1495.WP_003451038.1,CPMPRL4477.fig|195102.33.peg.2399,CPJGS1987.WP_003466076.1,CPJP838.WP_003466076.1,CPWAL-14572.WP_003470354.1,CPJP55.WP_003470354.1,CPMPRL4782.fig|195102.31.peg.2685,CPMPRL4716.fig|195102.30.peg.101,CPMPRL3750.fig|195102.37.peg.521,CPF4969.WP_003470354.1,CPMPRL4450.fig|195102.34.peg.2286,CPATCC13124.WP_003470354.1,CPMPRL4725.fig|195102.36.peg.2548,CPMJR7757A.WP_003470354.1,CPF262.WP_003470354.1,CPJJC.WP_003470354.1,CPMPRL4350.fig|195102.38.peg.2521,CPATCC3626.WP_003470354.1,CBOT.YP_001385965,CPMPRL4492.fig|195102.32.peg.2411
OG0000269	1.0	CPMPRL4782.fig|195102.31.peg.2686,CPCP4.WP_003450989.1,CP13.WP_003450989.1,CPJP838.WP_061426018.1,CPSM101.WP_003450989.1,CPJGS1987.WP_003450989.1,CPFORC.WP_003450989.1,CPF262.WP_003450989.1,CPNCTC8239.WP_003450989.1,CPATCC3626.WP_003450989.1,CPATCC13124.WP_003450989.1,CPWAL-14572.WP_003450989.1,CPJJC.WP_003450989.1,CPMPRL4716.fig|195102.30.peg.102,CPJP55.WP_003450989.1,CPMPRL4450.fig|195102.34.peg.2287,CPMPRL3750.fig|195102.37.peg.522,CP1207.WP_049039654.1,CPMPRL4725.fig|195102.36.peg.2549,CPJGS1495.WP_003450989.1,CPMPRL4477.fig|195102.33.peg.2400,CPJGS1721.WP_003450989.1,CBOT.YP_001385966,CPMPRL4350.fig|195102.38.peg.2522,CPF4969.WP_003450989.1,CPMJR7757A.WP_003450989.1,CPMPRL4492.fig|195102.32.peg.2410
OG0000270	1.0	CPJGS1987.WP_003451015.1,CPJGS1495.WP_003451015.1,CPMPRL4782.fig|195102.31.peg.2687,CPMPRL4725.fig|195102.36.peg.2550,CP13.WP_003451015.1,CPJP838.WP_003451015.1,CPMJR7757A.WP_003451015.1,CP1207.WP_003451015.1,CPNCTC8239.WP_003451015.1,CPJP55.WP_003451015.1,CPATCC3626.WP_003451015.1,CPJGS1721.WP_003451015.1,CPMPRL4492.fig|195102.32.peg.2409,CPWAL-14572.WP_003451015.1,CPMPRL4450.fig|195102.34.peg.2288,CPMPRL4716.fig|195102.30.peg.103,CPCP4.WP_003451015.1,CPFORC.WP_003451015.1,CPMPRL3750.fig|195102.37.peg.523,CPF262.WP_003451015.1,CPF4969.WP_003451015.1,CPATCC13124.WP_003451015.1,CPMPRL4477.fig|195102.33.peg.2401,CPJJC.WP_025648327.1,CPMPRL4350.fig|195102.38.peg.2523,CPSM101.WP_003451015.1,CBOT.YP_001385967
OG0000271	1.0	CPMJR7757A.WP_060796247.1,CPCP4.WP_057230293.1,CPF4969.WP_003468666.1,CPMPRL3750.fig|195102.37.peg.1091,CPMPRL4492.fig|195102.32.peg.1694,CPJGS1495.WP_003450919.1,CPJP838.WP_061426021.1,CPMPRL4782.fig|195102.31.peg.3233,CPMPRL4477.fig|195102.33.peg.2,CPJJC.WP_025648868.1,CPNCTC8239.WP_003472612.1,CPATCC3626.WP_003458168.1,CPMPRL4450.fig|195102.34.peg.2653,CPMPRL4716.fig|195102.30.peg.2904,CPMPRL4350.fig|195102.38.peg.2880,CBOT.YP_001385973,CPFORC.WP_004456764.1,CPJGS1721.WP_003474848.1,CP1207.WP_003468666.1,CPSM101.WP_011591200.1,CP13.WP_011009570.1,CPF262.WP_003479813.1,CPWAL-14572.WP_003479673.1,CPATCC13124.WP_011590027.1,CPMPRL4725.fig|195102.36.peg.3036,CPJGS1987.WP_004456764.1,CPJP55.WP_011590027.1
OG0000272	1.0	CPATCC13124.WP_003458179.1,CPMJR7757A.WP_060796248.1,CPF262.WP_003450884.1,CPMPRL4782.fig|195102.31.peg.3234,CPJGS1495.WP_003450884.1,CPFORC.WP_003450884.1,CPSM101.WP_011591201.1,CPMPRL4477.fig|195102.33.peg.3,CPATCC3626.WP_003458179.1,CPJJC.WP_003450884.1,CPJP55.WP_003458179.1,CPMPRL4716.fig|195102.30.peg.2905,CBOT.YP_001385975,CP1207.WP_003450884.1,CPMPRL4350.fig|195102.38.peg.2881,CPMPRL4450.fig|195102.34.peg.2654,CPJP838.WP_061426022.1,CPJGS1721.WP_003450884.1,CPMPRL3750.fig|195102.37.peg.422,CPWAL-14572.WP_003450884.1,CPJGS1987.WP_003450884.1,CPMPRL4492.fig|195102.32.peg.515,CP13.WP_003450884.1,CPCP4.WP_003458179.1,CPF4969.WP_003450884.1,CPMPRL4725.fig|195102.36.peg.3037,CPNCTC8239.WP_003450884.1
OG0000273	1.0	CPJGS1987.WP_003450903.1,CPJP838.WP_061426023.1,CPF4969.WP_003450903.1,CPMPRL4782.fig|195102.31.peg.3235,CPATCC13124.WP_003450903.1,CPMPRL4477.fig|195102.33.peg.4,CPMJR7757A.WP_003450903.1,CPWAL-14572.WP_003450903.1,CPF262.WP_003450903.1,CPMPRL4716.fig|195102.30.peg.2906,CP13.WP_003450903.1,CBOT.YP_001385976,CPATCC3626.WP_003450903.1,CPMPRL4350.fig|195102.38.peg.2882,CPMPRL4450.fig|195102.34.peg.2655,CPJGS1721.WP_003450903.1,CPJP55.WP_003450903.1,CPMPRL3750.fig|195102.37.peg.423,CP1207.WP_003450903.1,CPFORC.WP_003450903.1,CPCP4.WP_003450903.1,CPJJC.WP_003450903.1,CPSM101.WP_003450903.1,CPJGS1495.WP_003450903.1,CPMPRL4725.fig|195102.36.peg.3038,CPMPRL4492.fig|195102.32.peg.516,CPNCTC8239.WP_003450903.1
OG0000274	1.0	CPJGS1721.WP_003450982.1,CPMPRL4450.fig|195102.34.peg.2656,CP1207.WP_003450982.1,CPMPRL4782.fig|195102.31.peg.3236,CPMPRL4477.fig|195102.33.peg.5,CPJP55.WP_003450982.1,CPJJC.WP_003450982.1,CPMPRL4716.fig|195102.30.peg.2907,CBOT.YP_001385977,CPMPRL4350.fig|195102.38.peg.2883,CP13.WP_003450982.1,CPF262.WP_003450982.1,CPJGS1987.WP_003450982.1,CPATCC3626.WP_003450982.1,CPWAL-14572.WP_003450982.1,CPCP4.WP_003450982.1,CPF4969.WP_003450982.1,CPSM101.WP_011591202.1,CPNCTC8239.WP_003450982.1,CPMPRL3750.fig|195102.37.peg.424,CPFORC.WP_003450982.1,CPMPRL4725.fig|195102.36.peg.3039,CPJGS1495.WP_003450982.1,CPMPRL4492.fig|195102.32.peg.517,CPATCC13124.WP_011590028.1,CPJP838.WP_061429400.1,CPMJR7757A.WP_003450982.1
OG0000275	1.0	CPMJR7757A.WP_060796726.1,CPJP838.WP_003450844.1,CBOT.YP_001385984,CP1207.WP_003458234.1,CPF4969.WP_003450844.1,CPJGS1987.WP_003463576.1,CPCP4.WP_003450844.1,CPJJC.WP_025649119.1,CPMPRL4716.fig|195102.30.peg.2922,CP13.WP_003458234.1,CPMPRL3750.fig|195102.37.peg.438,CPWAL-14572.WP_003450844.1,CPJP55.WP_061414177.1,CPJGS1495.WP_003450844.1,CPF262.WP_003479831.1,CPATCC13124.WP_011590036.1,CPFORC.WP_003463576.1,CPMPRL4450.fig|195102.34.peg.2670,CPMPRL4477.fig|195102.33.peg.19,CPMPRL4782.fig|195102.31.peg.3257,CPATCC3626.WP_003458234.1,CPNCTC8239.WP_003472663.1,CPJGS1721.WP_003474875.1,CPMPRL4492.fig|195102.32.peg.531,CPMPRL4350.fig|195102.38.peg.2897,CPMPRL4725.fig|195102.36.peg.3053,CPSM101.WP_011591215.1
